Timestamp,Back.Acc.X,Back.Acc.Y,Back.Acc.Z,Back.Gyr.X,Back.Gyr.Y,Back.Gyr.Z,Chest.Acc.X,Chest.Acc.Y,Chest.Acc.Z,Chest.Gyr.X,Chest.Gyr.Y,Chest.Gyr.Z,Neck.Acc.X,Neck.Acc.Y,Neck.Acc.Z,Neck.Gyr.X,Neck.Gyr.Y,Neck.Gyr.Z
2019-05-20 14:46:28.250,-0.019531,-0.141113,1.037598,-16.418457999999998,-5.67627,-8.117676,-0.038574,0.091309,-1.003906,4.028321,36.376955,-28.625490000000003,0.433594,-0.6992189999999999,-0.624512,-2.624512,6.530762,25.085451000000003
2019-05-20 14:46:28.260,0.016113,-0.159668,0.969727,-11.901856,-11.779786,-4.089356,-0.0122069999999999,0.086426,-0.99707,6.164551,25.329591,-25.939943,0.3876949999999999,-0.692871,-0.6313479999999999,-0.671387,10.192872,25.207521
2019-05-20 14:46:28.270,0.086914,-0.160645,0.942383,-7.995605999999999,-19.287111,2.807617,0.005859,0.075684,-0.991699,7.324219,17.089845,-22.583009,0.337891,-0.685547,-0.644043,0.244141,10.070801,23.803712
2019-05-20 14:46:28.280,0.1704099999999999,-0.174316,1.010742,-5.737305,-16.784669,8.239747,0.021484,0.05957,-0.987305,8.056641,11.169434,-18.859864,0.302734,-0.6875,-0.647461,-0.12207,6.530762,21.606447
2019-05-20 14:46:28.290,0.19043,-0.175293,1.047852,-1.037598,-1.220703,10.559083,0.0659179999999999,0.063965,-1.041504,9.948731,5.310059,-14.038087,0.289551,-0.689453,-0.651367,-0.793457,0.854492,19.348146
2019-05-20 14:46:28.300,0.150391,-0.143555,1.008789,5.5542,5.67627,11.047364,0.129395,0.061523,-1.159668,13.122559,-4.821778,-8.178711,0.307617,-0.6967770000000001,-0.6503909999999999,-2.197266,-5.249024,17.333985000000002
2019-05-20 14:46:28.310,0.208008,-0.12207,1.051758,6.286621,0.12207,13.000489,0.129395,0.061523,-1.0859379999999998,9.948731,-10.131837,-3.4179690000000003,0.365234,-0.69043,-0.632324,-3.540039,-9.155274,16.357423
2019-05-20 14:46:28.320,0.244141,-0.087402,1.0317379999999998,6.103516,7.263184,13.854981,0.084473,0.050781,-0.96582,6.896973,-6.530762,0.183105,0.408203,-0.690918,-0.625488,-4.150391,-7.507325,15.808106
2019-05-20 14:46:28.330,0.236328,-0.101074,1.0390629999999998,0.732422,14.526368,15.014649,0.104004,0.087891,-0.934082,7.324219,-2.746582,6.225586,0.413574,-0.705078,-0.6132810000000001,-4.882813,-2.502442,15.075685
2019-05-20 14:46:28.340,0.203125,-0.125,1.065918,-1.953125,17.02881,17.089845,0.0971679999999999,0.128418,-0.914551,7.324219,-4.455566999999999,9.643555,0.400879,-0.7172850000000001,-0.607422,-3.90625,2.319336,14.404298
2019-05-20 14:46:28.350,0.188477,-0.1132809999999999,1.077148,-0.183105,21.850587,18.188478,0.106445,0.156738,-0.911621,6.408691999999999,-7.202149,11.901856,0.358398,-0.727539,-0.616211,-1.708984,5.615235,13.854981
2019-05-20 14:46:28.360,0.142578,-0.1049799999999999,1.056152,0.549316,29.785158000000003,17.944337,0.053711,0.161621,-0.851563,3.051758,-7.263184,10.498048,0.310059,-0.736816,-0.628418,-0.061035,5.920411,13.3667
2019-05-20 14:46:28.370,0.128418,-0.118652,1.072266,-1.403809,32.53174,17.089845,-0.001953,0.129883,-0.7617189999999999,-1.2817379999999998,-7.873536,9.094239,0.287109,-0.722168,-0.643555,0.305176,4.089356,13.610841
2019-05-20 14:46:28.380,0.096191,-0.129883,1.0390629999999998,-2.563477,34.301759999999994,14.526368,0.0893549999999999,0.125488,-0.952637,4.089356,-10.131837,10.070801,0.300293,-0.701172,-0.638184,-0.488281,0.488281,14.526368
2019-05-20 14:46:28.390,0.092285,-0.1630859999999999,1.0,-5.737305,30.456545,10.192872,0.15625,0.1152339999999999,-1.1015629999999998,4.333496,-8.239747,10.009766,0.3408199999999999,-0.679199,-0.6367189999999999,-2.441406,-4.394532,14.221192000000002
2019-05-20 14:46:28.400,0.0122069999999999,-0.2416989999999999,0.994141,-7.934571000000001,31.738283000000003,4.943848,0.163574,0.0976559999999999,-1.121094,1.953125,-6.8359380000000005,9.277344,0.397461,-0.678711,-0.624023,-4.638672,-6.8359380000000005,13.183595
